,Compound Score,Date,Neg Score,Neu Score,Pos Score,Source Acc.,Tweet
123,0.0,03/25/18,0.0,1.0,0.0,CNN,"Stormy Daniels interview adds to ""60 Minutes"" legacy of big hits https://t.co/q5LxP4G2ku https://t.co/IXtljm6IP9"
124,-0.0772,03/25/18,0.126,0.874,0.0,CNN,Facebook's Zuckerberg says sorry in full-page newspaper ads https://t.co/uchVl0f1EI https://t.co/VkKlB7VzmQ
125,0.0,03/25/18,0.0,1.0,0.0,CNN,A conservative media executive who is close with President Trump said the President told him Saturday he expects mo… https://t.co/syUiXUZP4i
126,-0.0997,03/25/18,0.109,0.805,0.086,CNN,President Trump's attorney says husband-and-wife legal team Joseph diGenova and Victoria Toensing won't join legal… https://t.co/fTlnDqJ4Bf
127,0.0,03/25/18,0.0,1.0,0.0,CNN,"Everything you need to know ahead of Stormy Daniels' ""60 Minutes"" interview https://t.co/9goGs0LO3J https://t.co/xJ0RDRT1GW"
128,0.4767,03/25/18,0.0,0.78,0.22,CNN,Monégasque racing driver Charles Leclerc impresses on debut in Australia https://t.co/lR1qvWSlYn https://t.co/KmYSAA2JVX
129,-0.6124,03/25/18,0.294,0.706,0.0,CNN,Wisconsin students take gun reform fight to House Speaker Paul Ryan's hometown https://t.co/jpKPV0Lm5p https://t.co/wsP3WVHlcH
130,0.1901,03/25/18,0.0,0.907,0.093,CNN,"Renaissance popes like Rodrigo Borgia made incredible cultural advancements, but at what cost? The price of progres… https://t.co/GnxJ683r5B"
131,-0.4404,03/25/18,0.244,0.756,0.0,CNN,The key players in the Stormy Daniels scandal https://t.co/4k8CTDlFVi https://t.co/gOFDXmglmx
132,0.0,03/25/18,0.0,1.0,0.0,CNN,What happens when the world's two biggest economies turn on each other https://t.co/kGu99fYZvv https://t.co/JgzxQmVohv
133,-0.4404,03/25/18,0.266,0.734,0.0,CNN,Cabinet wives swept up in secretaries' woes https://t.co/gRHqqfoIly https://t.co/zlGvUYxnQS
134,0.5994,03/25/18,0.0,0.776,0.224,CNN,"Mark Warner, the top Democrat on the Senate Intelligence Committee, says Mark Zuckerberg needs to testify about Fac… https://t.co/QZBstaZDg1"
135,0.4404,03/25/18,0.0,0.884,0.116,CNN,"""I hope. ... they know that there is light at the end of the tunnel.""

CNN's Ed Lavandera followed a group of survi… https://t.co/OOo7eRjDKZ"
136,0.0,03/25/18,0.0,1.0,0.0,CNN,"Ohio Gov. John Kasich says politicians ""should be held absolutely accountable at the ballot box"" for their inaction… https://t.co/KHTlD7iUuh"
137,0.5106,03/25/18,0.0,0.845,0.155,CNN,"A driver's dramatic rescue from his SUV was caught on camera as floodwaters came rushing through Santa Clarita, Cal… https://t.co/vP9wOndR4x"
138,0.7469,03/25/18,0.0,0.586,0.414,CNN,The marching students wowed this security mom https://t.co/nRBizoN4s5 | via @CNNOpinion https://t.co/OVjQzh5nq9
139,-0.4939,03/25/18,0.225,0.775,0.0,CNN,Why the Stormy Daniels interview should scare Republicans https://t.co/z6li30k8qv | via @CNNOpinion https://t.co/tIcn4gfX6Q
140,0.0,03/25/18,0.0,1.0,0.0,CNN,"A day after March for Our Lives, the Pope urges youth to speak out https://t.co/MZxgyIY78e https://t.co/ntsRpwZN3L"
141,-0.5267,03/25/18,0.167,0.833,0.0,CNN,"""(President Trump) is either lying or he is completely delusional."" Democratic Sen. Tim Kaine says Trump's blaming… https://t.co/faQhA18ng9"
142,0.8402,03/25/18,0.0,0.63,0.37,CNN,"""If keeping our children's safe was truly Trump's 'top priority,' why did he play golf instead of attend the March… https://t.co/wt25Y1iJoZ"
143,-0.1027,03/25/18,0.08,0.92,0.0,CNN,"What we know about Emma Gonzalez, the fiercely outspoken teen who stunned America with her silence… https://t.co/KqUj4NlgjT"
144,0.0,03/25/18,0.0,1.0,0.0,CNN,"Ohio Gov. John Kasich says politicians ""should be held absolutely accountable at the ballot box""… https://t.co/543rARLzMr"
145,-0.34,03/25/18,0.118,0.882,0.0,CNN,"Russia in the headlines, and a tense meeting between world leaders about nuclear disarmament. Are the events of 196… https://t.co/PT4S6W2dmN"
146,0.0,03/25/18,0.0,1.0,0.0,CNN,"The Austin bomber called himself a ""psychopath"" in his confession video https://t.co/7h52eBFkiP https://t.co/umrIxGQrnh"
147,0.0,03/25/18,0.0,1.0,0.0,CNN,"Former Brexit volunteer alleges campaign ""cheated"" https://t.co/fCxTXOTDNK https://t.co/60a1wBlFba"
148,0.5719,03/25/18,0.0,0.821,0.179,CNN,A new heroine is flying alongside Wonder Woman and Superman to pull Puerto Rico through hurricane Maria's aftermath… https://t.co/w4mdgO6vMm
149,-0.6597,03/25/18,0.239,0.761,0.0,CNN,A former cancer patient is now a doctor at the hospital that helped her survive https://t.co/QpZ6HqzylV https://t.co/xWPV9fs5Vz
150,0.2846,03/25/18,0.15,0.634,0.216,CNN,These New York police officers were outnumbered in this adorable snowball fight https://t.co/heByQBkT9a
151,0.0,03/25/18,0.0,1.0,0.0,CNN,"There has been, on average, 1 school shooting every week this year https://t.co/WOw2gtl9hc https://t.co/CU9U4yCMhP"
152,0.2755,03/25/18,0.0,0.905,0.095,CNN,This robotic fish is designed to swim near real aquatic creatures and spy on them without raising suspicions or dis… https://t.co/RNhdKMTc4A
153,-0.2732,03/25/18,0.084,0.916,0.0,CNN,About half of all plants and animals in 35 of the world's most biodiverse places are at risk of extinction due to c… https://t.co/eZuNKpx4rK
